phi_center,psi_center,n,n_structures,k_empirical_secant,ci_lo,ci_hi,ci_width,k_amber_ff14SB_verified,delta_k,well_supported,ci_excludes_amber
-155.0,-75.0,30,30,0.12533869035667633,-0.04906803872774788,0.30337982761001914,0.35244786633776704,1.1887805565570515,-1.063441866200375,False,True
-155.0,-65.0,29,29,-0.0914581413803766,-0.2232157609870183,0.039909356564060125,0.2631251175510784,1.1887805565570515,-1.280238697937428,False,True
-155.0,-55.0,24,24,0.02852665310754234,-0.16890345065553275,0.24699499012146692,0.41589844077699967,1.1887805565570515,-1.1602539034495092,False,True
-155.0,-45.0,12,12,-0.10723130370841043,-0.4413243574793782,0.20506416111835768,0.6463885185977358,1.1887805565570515,-1.296011860265462,False,True
-155.0,-35.0,29,29,-0.15417036185695307,-0.3558400798361807,0.011673677937764913,0.3675137577739456,1.1887805565570515,-1.3429509184140045,False,True
-155.0,-25.0,31,31,0.04082446126917528,-0.21844055606359064,0.26409669921588075,0.4825372552794714,1.1887805565570515,-1.1479560952878762,False,True
-155.0,-15.0,32,32,-0.046842528081276084,-0.23692914579684415,0.137724707085379,0.3746538528822232,1.1887805565570515,-1.2356230846383276,False,True
-155.0,-5.0,37,36,-0.07541110261943729,-0.2925080230185522,0.1308677572700152,0.4233757802885674,1.1887805565570515,-1.2641916591764888,False,True
-155.0,5.0,51,51,0.015991053763574944,-0.20962802210298773,0.21384978597044874,0.4234778080734365,1.1887805565570515,-1.1727895027934765,False,True
-155.0,15.0,58,56,-0.060350837211337195,-0.27088915729549706,0.13352854553004162,0.4044177028255387,1.1887805565570515,-1.2491313937683888,False,True
-155.0,25.0,80,79,-0.2654546400272056,-0.43921147922310527,-0.10831113165824736,0.3309003475648579,1.1887805565570515,-1.454235196584257,False,True
-155.0,35.0,69,68,-0.23954531332563553,-0.4049106553848609,-0.08869123485309624,0.31621942053176466,1.1887805565570515,-1.428325869882687,False,True
-155.0,45.0,74,74,-0.29333412661374514,-0.440749847325917,-0.15171605625639553,0.28903379106952143,1.1887805565570515,-1.4821146831707965,False,True
-155.0,55.0,134,133,-0.16157788608084225,-0.27480386811353313,-0.05408022689862923,0.2207236412149039,1.1887805565570515,-1.3503584426378938,True,True
-155.0,65.0,253,248,-0.23204912058179475,-0.3053719020478977,-0.15273028060762966,0.15264162144026805,1.1887805565570515,-1.4208296771388462,True,True
-155.0,75.0,329,312,-0.07405660485580216,-0.14398259285214707,-0.00971173917975164,0.13427085367239544,1.1887805565570515,-1.2628371614128537,True,True
-155.0,85.0,335,324,-0.005917815294204373,-0.08096257861548876,0.06136367738032983,0.1423262559958186,1.1887805565570515,-1.1946983718512558,True,True
-155.0,95.0,418,398,0.12446061838364765,0.05742834391228094,0.1918502321940124,0.13442188828173146,1.1887805565570515,-1.0643199381734039,True,True
-155.0,105.0,591,545,0.2649615372973339,0.20270512008211924,0.330254690124063,0.12754957004194376,1.1887805565570515,-0.9238190192597175,True,True
-155.0,115.0,897,806,0.5746895723160178,0.5173628581521417,0.6300196952382369,0.1126568370860952,1.1887805565570515,-0.6140909842410337,True,True
-155.0,125.0,1622,1366,0.8811433348432597,0.8361749919285999,0.9276327763557743,0.09145778442717445,1.1887805565570515,-0.3076372217137918,True,True
-155.0,135.0,3358,2454,0.9399917776870688,0.9087890159771081,0.9705100105957165,0.06172099461860836,1.1887805565570515,-0.24878877886998274,True,True
-155.0,145.0,5649,3522,1.028368779541104,1.0033009665869752,1.051936952999607,0.04863598641263178,1.1887805565570515,-0.16041177701594744,True,True
-155.0,155.0,8441,4351,1.0768266151981891,1.0553803725146529,1.0987496501226457,0.04336927760799281,1.1887805565570515,-0.11195394135886239,True,True
-155.0,165.0,7873,4284,1.056851653218038,1.035888795777482,1.0793806662955465,0.04349187051806447,1.1887805565570515,-0.13192890333901341,True,True
-155.0,175.0,3289,2453,1.0107064702779114,0.9814842080297353,1.0416124942664826,0.060128286236747264,1.1887805565570515,-0.17807408627914012,True,True
-145.0,-175.0,1079,989,1.1046246137984428,1.0503691667422268,1.1536730847635235,0.10330391802129668,-5.638851046248386,6.743475660046829,True,True
-145.0,-165.0,510,477,1.202585448780927,1.130015153121465,1.2734910128548895,0.14347585973342447,-5.638851046248386,6.841436495029313,True,True
-145.0,-155.0,151,147,1.074540782579241,0.939011586149585,1.2108692887042873,0.2718577025547023,-5.638851046248386,6.7133918288276275,True,True
-145.0,-145.0,75,75,0.6845712439910445,0.49595176589808365,0.8774459950765271,0.38149422917844344,-5.638851046248386,6.323422290239431,False,True
-145.0,-135.0,51,51,0.5999486401335208,0.4455370745409461,0.7648091533466077,0.3192720788056616,-5.638851046248386,6.238799686381907,False,True
-145.0,-125.0,32,32,0.3400082680836997,0.12359566707791768,0.5533944904366631,0.4297988233587454,-5.638851046248386,5.978859314332086,False,True
-145.0,-115.0,24,24,0.5404571491004524,0.34095227175203374,0.7590292555237091,0.4180769837716754,-5.638851046248386,6.179308195348838,False,True
-145.0,-105.0,27,27,0.45199859980088114,0.2486517824946282,0.6450539740979129,0.3964021916032847,-5.638851046248386,6.090849646049268,False,True
-145.0,-95.0,22,22,0.3365038786564264,0.1987982398940853,0.47966191193906504,0.28086367204497975,-5.638851046248386,5.975354924904813,False,True
-145.0,-85.0,31,31,0.3687996462100498,0.15905114304644455,0.5782254770518626,0.41917433400541804,-5.638851046248386,6.007650692458436,False,True
-145.0,-75.0,42,42,0.11286789785096,-0.056642134857573544,0.2741901362793243,0.33083227113689784,-5.638851046248386,5.751718944099347,False,True
-145.0,-65.0,56,55,-0.03417291922179012,-0.14724515599193783,0.07949880335620473,0.22674395934814257,-5.638851046248386,5.604678127026596,False,True
-145.0,-55.0,58,58,-0.07940885700728859,-0.23043151113618168,0.06341335123573792,0.2938448623719196,-5.638851046248386,5.559442189241098,False,True
-145.0,-45.0,50,50,-0.1802742509579728,-0.35142884583931183,-0.022131177014088357,0.3292976688252235,-5.638851046248386,5.458576795290414,False,True
-145.0,-35.0,53,53,-0.1027721859180587,-0.24808658492976285,0.03572561385313848,0.2838121987829013,-5.638851046248386,5.536078860330328,False,True
-145.0,-25.0,87,86,-0.02506863149112382,-0.15896681212010846,0.09438555096417177,0.2533523630842802,-5.638851046248386,5.613782414757263,False,True
-145.0,-15.0,107,107,-0.13756712955062805,-0.2663668400959364,-0.010596537962447722,0.2557703021334887,-5.638851046248386,5.5012839166977585,True,True
-145.0,-5.0,102,101,-0.07090476552120083,-0.2024138166122771,0.05152400874266206,0.25393782535493914,-5.638851046248386,5.567946280727186,True,True
-145.0,5.0,198,195,-0.017901181473446416,-0.1079700277172336,0.07600193539809305,0.18397196311532665,-5.638851046248386,5.62094986477494,True,True
-145.0,15.0,271,263,-0.02642870535206921,-0.12425788602694697,0.059813950222195274,0.18407183624914225,-5.638851046248386,5.612422340896317,True,True
-145.0,25.0,259,250,-0.17935534526821154,-0.2779695339057839,-0.08313797941288249,0.1948315544929014,-5.638851046248386,5.459495700980175,True,True
-145.0,35.0,239,235,-0.20560959930735767,-0.3157917104926548,-0.10037980279068288,0.21541190770197194,-5.638851046248386,5.433241446941029,True,True
-145.0,45.0,220,216,-0.25980484595395004,-0.34312114753950823,-0.18654020684945558,0.15658094069005266,-5.638851046248386,5.379046200294436,True,True
-145.0,55.0,310,303,-0.3608436360040982,-0.43457088518202236,-0.28454413867184886,0.1500267465101735,-5.638851046248386,5.278007410244288,True,True
